АлтГТУ	3	3	1720000	3	3
АлтГУ	9	6	4675000	9	6
АмурГУ	1	1	400000	1	1
БайГУЭП	2	1	840000	2	1
БалтГТУ	7	4	3270000	7	4
БалтФУ	6	4	3300000	6	4
БашГУ	4	3	2280000	4	3
БелГТхнУ	2	2	1200000	2	2
БратГУ	2	1	1100000	2	1
БрянГИТА	2	2	900000	2	2
БрянГТУ	5	3	2380000	5	3
ВСГУТиУ	1	1	500000	1	1
ВладГУ	14	8	7100000	14	8
ВолгГАСУ	1	1	600000	1	1
ВолгГТУ	2	2	1060000	2	2
ВолгГУ	3	3	1600000	3	3
ВологГТУ	2	1	1060000	2	1
ВорГЛТА	2	2	1000000	2	2
ВорГТУ	3	3	1080000	3	3
ВорГУ	18	9	8465000	18	9
ВорГУИТ	1	1	375000	1	1
ВятГУ	4	3	1950000	4	3
ГУЦМиЗ	3	3	1295000	3	3
ДВГТУ	7	6	3080000	7	6
ДВФУ	8	4	3680000	8	4
ДагГТУ	2	1	720000	2	1
ДагГУ	2	2	1200000	2	2
ДонГТУ	13	8	7020000	13	8
ИвГАСУ	1	1	600000	1	1
ИвГУ	3	2	1120000	3	2
ИвГХТхнУ	3	2	1160000	3	2
ИвГЭУ	5	2	3000000	5	2
ИжГТУ	2	2	900000	2	2
ИркГТУ	17	7	9280000	17	7
ИркГУ	11	9	5100000	11	9
КБГУ	1	1	560000	1	1
Каз(Прив)ФУ	21	8	10640000	21	8
КазГАСУ	1	1	500000	1	1
КазНИТУ-КАИ	19	9	9595000	19	9
КалмГУ	1	1	400000	1	1
КнАГТУ	1	1	700000	1	1
КоврГТА	1	1	500000	1	1
КострГТУ	2	2	1200000	2	2
КрГАСА	1	1	700000	1	1
КрГТУ	3	3	1700000	3	3
КубГТхнУ	3	3	1600000	3	3
КубГУ	2	1	900000	2	1
КузГТУ	6	4	3050000	6	4
КургГУ	4	3	1800000	4	3
ЛипГТУ	3	3	1120000	3	3
МАИ	32	12	17420000	32	12
МАМИ	1	1	480000	1	1
МАТИ	35	12	16980000	35	12
МГВМетИ	6	5	2900000	6	5
МГГУ	8	6	3995000	8	6
МГИЭМ	16	7	8830000	16	7
МГИндУ	3	2	1760000	3	2
МГТекстУ	2	1	1180000	2	1
МГУП	1	1	400000	1	1
МГУПБио	1	1	600000	1	1
МГУПищП	2	2	1000000	2	2
МагнГТУ	11	7	6460000	11	7
МарГУ	1	1	700000	1	1
ПовГТУ	2	2	1100000	2	2
РГГРУ	13	6	5120000	13	6
РГУНГ	2	2	1100000	2	2
СКГГТхнА	1	1	600000	1	1
Сев(Аркт)ФУ	3	3	1700000	3	3
СибФУ	16	7	7070000	16	7
ЮЗГУ	4	4	1900000	4	4
