g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
 75;01;    92;;55.35.41;600000;Разработка принципиальных схем и методов расчета основных параметров роторных автоматов для штамповки заготовок  гаек;Пономарев Л.И.;заведующий кафедрой;профессор;кандидат технических наук;0;0;0;0;0
 76;01;    96;;55.35.99;500000;Создание научных основ и оборудования для совмещения разноскоростных технологических процессов;Арсентьева И.П.;заведующий кафедрой;доцент;кандидат технических наук;0;0;0;0;0
 77;01;    80;;55.35.99;600000;Разработка оптимального метода устранения местных дефектов металлургических изделий;Салганик В.М.;профессор;профессор;доктор технических наук;0;0;0;0;0
 78;01;    80;;55.35.41;500000;Разработка технологии и оборудования для бескалибровой прокатки сортовых профилей с целью повышения качества, снижения затрат и выдача рекомендаций по реконструкции существующего оборудования;Гун Г.С.;ректор;профессор;доктор технических наук;0;0;0;0;0
 81;01;    90;;55.20.19;500000;Поверхностное упрочнение легких сплавов тонкостенной керамикой;Даев Д.С.;профессор;доцент;доктор технических наук;0;0;0;0;0
 84;01;    60;;55.20.15;400000;Комплексная обработка рабочих поверхностей волочильно-калибровочного инструмента;Жуков В.В.;доцент;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
 16;01;    92;;55.29,55.30;700000;Разработка и исследование методик диагностики состояния роторных систем металлорежущего оботудования и информационно-измерительных диагностических комплексов.;Хрусталев М.М.;профессор;доцент;кандидат технических наук;0;0;0;0;0
 87;01;    51;;55.20.27;400000;Научные основы разработки технологии электромеханического упрочнения деталей из металлических сплавов с целью повышения их эксплуатационных свойств.;Кузнецов И.Ю.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 17;01;    93;;55.29,55.30;500000;Многофункциональный мониторинг динамического качества металлорежущих токарной группы;Акилин В.И.;докторант;;кандидат физико-математических наук;0;0;0;0;0
 89;01;    18;;55.20,55.20.27;600000;Исследование синергетических эффектов комбинированных электрофизических и электрохимических методов обработки деталей агрегатов летательных аппаратов;Сарычев В.С.;профессор;;доктор технических наук;0;0;0;0;0
 90;01;     2;;55.20.27;400000;Исследование технологических возможностей комбинированного электро-лазерного метода воздействия на труднообрабатываемые материалы;Куприянов А.Н.;заведующий кафедрой;академик;доктор технических наук;0;0;0;0;0
 91;01;    21;;55.19.13;400000;Научные основы формирования эксплуатационных свойств деталей машин при механической обработке;Иванов О.Н.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 94;01;    38;;55.19.03;400000;Повышение качества лезвийного металлорежущего инструмента управлением термодинамическими процессами в зоне резания;Заковоротный В.Л.;ректор;профессор;доктор технических наук;0;0;0;0;0
 37;01;    53;;55.47.13;500000;Разpаботка научных основ технологии объемной изотеpмической штамповки заготовок из жаpопpочных титановых сплавов с использованием водоpодного пластифициpования;Бегунов А.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 97;01;    38;;55.39.31;600000;Прочностной анализ конструктивных соединений аппаратов химического машиностроения;Нейдорф Р.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
100;01;    60;;55.39.31;600000;Исследование электромагнитных процессов в устройстве электроиндукционного нагрева цистерн с холодными нефтепродуктами;Попов Ю.И.;профессор;профессор;доктор технических наук;0;0;0;0;0
102;01;    74;;55.37.29;400000;"""РЕСУРСНОЕ ПРОЕКТИРОВАНИЕ ВЫСОКОНАГРУЖЕННЫХ ЭЛЕМЕНТОВ ГАЗОТУРБИННЫХ И ПАРОГАЗОВЫХ УСТАНОВОК""";Лапко А.В.;докторант;доцент;кандидат технических наук;0;0;0;0;0
107;01;    71;;55.37,55.42;400000;Малоэнергоемкая интенсификация теплообмена в условиях воздействия возмущающих факторов;Кузьмин Е.В.;профессор;профессор;доктор технических наук;0;0;0;0;0
 41;01;    53;;55.22.31;700000;Обработка поверхности и покрытий стальных изделий ионной бомбардировкой для улучшения эксплуатационных свойств;Страбыкин Н.Н.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
109;01;    13;;55.42.49;400000;Сравнительные характеристики и выбор числа ступеней турбины;Евлюхин А.Б.;профессор;профессор;доктор технических наук;0;0;0;0;0
112;01;    92;;55.03;500000;Исследoвание нoвoгo типа пеpедач неoбpатимoгo вpащения;Булеков В.П.;профессор;профессор;доктор технических наук;0;0;0;0;0
 2;01;    53;;55.22;700000;Анализ и исследование методов защиты поверхностей перспективных двигателей летательных аппаратов и вибропрочности получаемых покрытий;Тимофеева Т.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  2;01;    44;;55.21.15;200000;Разработка методов упрочнения материалов комбинированными концентрированными потоками энергии, обеспечивающих достижение высокопрочного состояния сталей с повышенным сопротивлением хрупкому разрушению;Кудин Л.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
115;01;   100;;55.03;600000;Разработка методов расчета кинематики и напряженно-деформированного состояния деталей и узлов из сплавов с памятью формы.;Плесневич Г.С.;ведущий научный сотрудник;старший научный сотрудник;доктор физико-математических наук;0;0;0;0;0
116;01;    92;;55.03;600000;РАЗРАБОТКА И ПРОЕКТИРОВАНИЕ НОВЫХ ПЕРСПЕКТИВНЫХ РОЛИКОВИНТОВЫХ ПЕРЕДАЧ;Мовчан А.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
118;01;    13;;55.03.35;500000;Создание зубчатой муфты свободного хода на основе самотормозящейся цилиндрической планетарной передачи;Бушенин Д.В.;доцент;доцент;кандидат технических наук;0;0;0;0;0
120;01;    14;;55.03.45;700000;"""Теория, конструирование и расчет механических бесступенчатых передачс упругими звеньями и механическими выпрямителями для траннспортных и тяговых машин""";Ткачев В.Г.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  5;01;    93;;55.09,55.21;500000;Разработка и исследование волокнистого композиционного материала с упруго-пластическим связующим;Агамиров Л.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  6;01;    93;;55.09,55.21;500000;Исследования и разработка безасбестовых пастообразных пресскомпозиций (премиксов) триботехнического назначения;Васильев В.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 49;01;    92;;55.22;500000;Теоретические и экспериментальные исследования газотермического напыления покрытий из металлоидных соединений.;Алиевский Б.Л.;профессор;профессор;кандидат технических наук;0;0;0;0;0
 50;01;    93;;55.22;500000;Разработка технологии вакуумного напыления с использованием импульсного электронно-лучевого испарения материалов.;Бобров Г.В.;доцент;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
 51;01;     8;;81.29.29;600000;Разработка научно-технических основ проектирования нового поколения внутрикамерн.средств и систем вакуумн.механики и создание типовых функциональных устройств.;Рубанов В.Г.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 52;01;    60;;81.29.29;500000;Прецизионный теплоэлектрический вакууметр сопротивления для диапазона 0,1-несколько десятков Торр.;Гусев М.Е.;профессор;профессор;доктор технических наук;0;0;0;0;0
